,ID,LocalizedName,EnglishName
0,AD,Andorra,Andorra
1,AL,Albania,Albania
2,AT,Austria,Austria
3,BA,Bosnia and Herzegovina,Bosnia and Herzegovina
4,BE,Belgium,Belgium
5,BG,Bulgaria,Bulgaria
6,BY,Belarus,Belarus
7,CH,Switzerland,Switzerland
8,CY,Cyprus,Cyprus
9,CZ,Czechia,Czechia
10,DE,Germany,Germany
11,DK,Denmark,Denmark
12,EE,Estonia,Estonia
13,ES,Spain,Spain
14,FI,Finland,Finland
15,FO,Faroe Islands,Faroe Islands
16,FR,France,France
17,GB,United Kingdom,United Kingdom
18,GG,Guernsey,Guernsey
19,GI,Gibraltar,Gibraltar
20,GR,Greece,Greece
21,HR,Croatia,Croatia
22,HU,Hungary,Hungary
23,IE,Ireland,Ireland
24,IM,Isle of Man,Isle of Man
25,IT,Italy,Italy
26,JE,Jersey,Jersey
27,LI,Liechtenstein,Liechtenstein
28,LT,Lithuania,Lithuania
29,LU,Luxembourg,Luxembourg
30,LV,Latvia,Latvia
31,MC,Monaco,Monaco
32,MD,Moldova,Moldova
33,ME,Montenegro,Montenegro
34,MK,North Macedonia,North Macedonia
35,MT,Malta,Malta
36,NL,Netherlands,Netherlands
37,NO,Norway,Norway
38,PL,Poland,Poland
39,PT,Portugal,Portugal
40,RO,Romania,Romania
41,RS,Serbia,Serbia
42,RU,Russia,Russia
43,SE,Sweden,Sweden
44,SI,Slovenia,Slovenia
45,SJ,Svalbard And Jan Mayen,Svalbard And Jan Mayen
46,SK,Slovakia,Slovakia
47,SM,San Marino,San Marino
48,TR,Turkey,Turkey
49,UA,Ukraine,Ukraine
50,VA,Vatican City,Vatican City
51,XK,Kosovo,Kosovo